link,option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31215
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31214
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31213
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31192
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31191
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31190
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59732,31341
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59732,31340
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59733,31393
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59733,31379
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59733,31378
